Code,,1989-12,1990-12,1991-12,1992-12,1993-12,1994-12,1995-12,1996-12,1997-12,1998-12,1999-12,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-07
A256840,이연법인세자산,,,,,,,,,,,,,,,,,,,,,,,,,,,73769.000000 ,774870.340000 ,751323.600000 ,811244.940000 ,1052622.800000 ,
A256840,영업이익,,,,,,,,,,,,,,,,,,,,,,,,,940447.000000 ,1251567.000000 ,1540713.000000 ,1304374.070000 ,3048909.040000 ,4330013.100000 ,2335550.300000 ,
A256840,자산총계,,,,,,,,,,,,,,,,,,,,,,,,,4421664.000000 ,7833861.000000 ,16257742.000000 ,20457012.080000 ,23755018.280000 ,30843928.020000 ,49598923.650000 ,
A182360,자본총계,,,,,,,,,,,,,,,,,,,,,,,4088661.000000 ,3939406.000000 ,5685000.000000 ,6677911.000000 ,20857121.140000 ,17223099.770000 ,15787995.340000 ,16724906.470000 ,17615640.980000 ,
A182360,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A182360,이연법인세자산,,,,,,,,,,,,,,,,,,,,,,,41437.000000 ,241581.000000 ,228231.000000 ,384864.000000 ,432641.480000 ,1478316.940000 ,1038730.720000 ,685819.880000 ,816041.360000 ,
A182360,영업이익,,,,,,,,,,,,,,,,,,,,,,,3555622.000000 ,223374.000000 ,2353496.000000 ,1538249.000000 ,710694.720000 ,-5701794.040000 ,211106.800000 ,1930704.390000 ,960751.720000 ,
A182360,자산총계,,,,,,,,,,,,,,,,,,,,,,,9615724.000000 ,10528335.000000 ,10904367.000000 ,11898808.000000 ,27649411.860000 ,21470632.730000 ,22136132.140000 ,28829632.100000 ,32002668.990000 ,
A042420,자본총계,,,,,,,,,105065.000000 ,193120.000000 ,4235069.000000 ,60274499.000000 ,64984232.000000 ,78203478.000000 ,93286802.000000 ,88764221.000000 ,77613253.000000 ,101553571.000000 ,152472013.000000 ,151554365.000000 ,181583062.000000 ,188567517.000000 ,374990578.000000 ,365487957.650000 ,416240481.000000 ,467487689.580000 ,492854027.970000 ,479007316.070000 ,473207169.430000 ,516278244.650000 ,549250921.650000 ,
A042420,우선주자본금,,,,,,,,,,,,,,,,,,,141803.000000 ,141803.000000 ,141803.000000 ,141803.000000 ,,,,,,,,,,
A042420,이연법인세자산,,,,,,,,,,,,,,,,,,374055.000000 ,3512100.000000 ,,,141719.000000 ,30029965.000000 ,32417422.550000 ,36774678.000000 ,18427675.960000 ,16594122.430000 ,12640559.000000 ,13291599.010000 ,16029763.910000 ,14137609.340000 ,
A042420,영업이익,,,,,,,,,18658.000000 ,137095.000000 ,4157854.000000 ,10690960.000000 ,6754639.000000 ,8718316.000000 ,25100415.000000 ,7253839.000000 ,17637731.000000 ,25938718.000000 ,-32771015.000000 ,-10169345.000000 ,8389667.000000 ,7382346.000000 ,137513217.000000 ,112938514.890000 ,102988208.000000 ,28812083.020000 ,14325084.570000 ,22359829.550000 ,10628248.190000 ,20904668.450000 ,29418402.800000 ,
A042420,자산총계,,,,,,,,,111601.000000 ,340035.000000 ,6948389.000000 ,68770612.000000 ,72839188.000000 ,89991288.000000 ,111292173.000000 ,103625298.000000 ,114348034.000000 ,132434229.000000 ,198592103.000000 ,192523366.000000 ,236150803.000000 ,194605427.000000 ,699856916.000000 ,667667165.900000 ,588519102.000000 ,573964611.370000 ,570887893.480000 ,533357640.110000 ,524777875.970000 ,590591987.370000 ,622123553.750000 ,
A031980,자본총계,,,,,,2240552.000000 ,4996023.000000 ,9359424.000000 ,10809298.000000 ,11940586.000000 ,23784641.000000 ,40019845.000000 ,42688135.000000 ,40959412.000000 ,46203259.000000 ,57409404.000000 ,70224720.000000 ,97834463.000000 ,116310839.000000 ,109498838.000000 ,114894332.000000 ,126039640.000000 ,124749200.130000 ,134188223.000000 ,152456406.090000 ,169916234.810000 ,182815024.530000 ,198907427.040000 ,228315563.160000 ,271596796.580000 ,88832339.310000 ,
A031980,우선주자본금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A031980,이연법인세자산,,,,,,,,,,,,,,,,,,611869.000000 ,951554.000000 ,1347541.000000 ,526815.000000 ,1265988.000000 ,1672363.310000 ,,,645852.550000 ,1370444.980000 ,1250001.430000 ,1043193.270000 ,1536483.880000 ,236953.030000 ,
